,Plant Name,Seeds,Packets,Total Seeds,Flowering Season,Days to Germinate,Total,Start Seeds,Transplant Outside,Mature Size,Date Planted,First Flowers,Days to Flower,2026 Germination Rate,Outcome,Notes,Repeat?,,,
2601,Alice's Dream Tomatoes,11,1,11,,14-21 days,,2/11 - 2/28,4/29 - 5/20,,02/15/26,,,,,,,,
2602,Spider Plant,3,1,3,,,,,,,,,,,,,,,
2603,Coleus - Fairway Rose,9,1,9,"Late Spring, Summer, Fall",10-14 days,,2/18 - 3/4,4/29 - 5/27 **,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,
,,,Total Seeds:,23,,,,,,,,,,,,,,,
,* ,,,,,,,,,,,,,,,,,,
,** Average last frost: April 15th,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,Flower,Total Plants,,,For the Hill Family,Flower,Total Plants,,,,,,,
,,,,,Mailbox Bed:,,,,,Mailbox Bed:,,,,,,,,,
,,,,,Large sidelight planters:,,,,,Garage/Sidewalk Path:,,,,,,,,,
,,,,,,,,,,"Large 16"" planter (1) at front door:",,,,,,,,,
,,,,,Back yard hanging baskets:,Trailing Petunia,3,,,"Large 16"" planters (2) at back patio:",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Multibloom Geranium,,,,,Total: __ White,Total: __ Red,,,Trailing Petunia,Total: __,,,,,,,,
,Kendall,,(final destination),,,,,,,Kendall,,,,,,,,,
,Hill,,(final destination),,,,,,,Hill,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,0,,,,0,0,,,,0,,,,,,,,